Portfolio project,Original folder,File path within folder,Bytes,Portfolio filename,Naming status
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.124,134349,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.125,136886,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.126,141491,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.127,136421,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.13,133513,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.14,133967,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.15,136069,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.16,134462,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.17,138960,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.18,138170,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.19,132827,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.2,140099,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.20,137234,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.21,131896,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.22,143299,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.23,141368,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.24,134131,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.25,137148,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.26,132411,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.27,138255,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.28,140161,,Archive/data output or excluded project — original name retained
Abdominal Aneurysm Flow Analysis,Abdominal Aneurysm Analysis,Simvascular/127-procs_case/geombc.dat.29,133069,,Archive/data output or excluded project — original name retained
